Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
WingGeom,159.660140,159.660140,15.441036,15.441036
Totals,159.660140,159.660140,15.441036,15.441036

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
WingGeom_S_Surf0,79.830070,79.830070
WingGeom_S_Surf1,79.830070,79.830070
